RespNum,Answer,CodedAns,Task,Concept,Type,Price,Brand,Fast Charge,Fuel Cost,Acceleration,SUVbuyer
26,1,1,12,1,3,4,4,2,4,2,0
26,1,0,12,2,2,2,3,2,1,4,0
26,1,0,12,3,7,2,3,1,1,4,0
26,3,0,13,1,6,4,2,2,1,3,0
26,3,0,13,2,4,4,1,2,1,2,0
26,3,1,13,3,6,3,2,1,2,1,0
26,1,1,14,1,3,2,4,2,1,2,0
26,1,0,14,2,5,3,4,2,3,4,0
26,1,0,14,3,7,3,5,1,3,4,0
26,1,1,15,1,2,1,5,1,1,4,0
26,1,0,15,2,2,1,3,2,2,3,0
26,1,0,15,3,4,3,3,2,4,3,0
27,2,0,1,1,5,3,4,2,4,3,0
27,2,1,1,2,4,1,5,2,3,2,0
27,2,0,1,3,6,5,5,2,1,4,0
27,2,0,2,1,1,2,2,1,4,2,0
27,2,1,2,2,5,2,2,1,4,1,0
27,2,0,2,3,2,5,1,1,3,3,0
27,1,1,3,1,4,3,2,1,3,4,0
27,1,0,3,2,3,5,4,1,1,1,0
27,1,0,3,3,2,5,5,2,3,2,0
27,1,1,4,1,4,1,1,1,2,3,0
27,1,0,4,2,3,4,1,1,2,1,0
27,1,0,4,3,6,4,3,1,2,1,0
27,1,1,5,1,4,2,5,1,1,1,0
27,1,0,5,2,5,1,3,1,3,1,0
27,1,0,5,3,1,1,2,1,4,4,0
27,1,1,6,1,5,3,2,2,1,2,0
27,1,0,6,2,6,1,1,2,2,3,0
27,1,0,6,3,5,3,1,1,3,1,0
27,1,1,7,1,5,3,2,1,2,3,0
27,1,0,7,2,7,4,5,1,4,3,0
27,1,0,7,3,8,5,2,1,4,2,0
27,1,1,8,1,5,3,2,1,2,1,0
27,1,0,8,2,1,3,5,1,2,3,0
27,1,0,8,3,6,4,1,2,4,2,0
27,3,0,9,1,3,4,3,2,1,4,0
27,3,0,9,2,8,1,5,1,2,3,0
27,3,1,9,3,5,3,2,1,1,4,0
27,2,0,10,1,6,3,5,1,4,2,0
27,2,1,10,2,5,3,3,2,3,3,0
27,2,0,10,3,4,5,5,2,1,3,0
27,2,0,11,1,4,4,2,1,1,2,0
27,2,1,11,2,4,1,1,1,2,3,0
27,2,0,11,3,4,5,4,2,3,4,0
27,3,0,12,1,3,3,1,1,1,4,0
27,3,0,12,2,7,1,3,1,4,2,0
27,3,1,12,3,5,3,3,1,1,2,0
27,2,0,13,1,7,4,5,2,1,1,0
27,2,1,13,2,3,4,3,1,2,2,0
27,2,0,13,3,1,5,1,1,2,4,0
27,1,1,14,1,3,1,5,2,3,4,0
27,1,0,14,2,3,5,2,1,1,2,0
27,1,0,14,3,3,2,5,2,4,3,0
27,1,1,15,1,3,1,5,1,3,3,0
27,1,0,15,2,8,4,2,2,2,1,0
27,1,0,15,3,8,5,5,1,4,3,0
28,2,0,1,1,2,2,4,2,1,4,0
28,2,1,1,2,5,5,3,1,3,3,0
28,2,0,1,3,3,2,2,2,3,2,0
28,1,1,2,1,3,5,1,1,4,4,0
28,1,0,2,2,8,5,4,1,4,4,0
28,1,0,2,3,6,2,3,1,1,1,0
28,2,0,3,1,8,2,5,1,4,4,0
28,2,1,3,2,4,5,1,2,2,2,0
28,2,0,3,3,1,2,3,2,1,3,0
28,1,1,4,1,1,3,3,2,2,1,0
28,1,0,4,2,5,4,3,1,2,3,0
28,1,0,4,3,7,3,2,1,3,3,0
28,3,0,5,1,1,4,4,1,4,4,0
28,3,0,5,2,1,3,4,1,2,4,0
28,3,1,5,3,5,4,1,2,3,4,0
28,1,1,6,1,4,2,1,2,4,3,0
28,1,0,6,2,2,4,3,2,2,4,0
28,1,0,6,3,7,1,3,2,1,2,0
28,3,0,7,1,3,4,2,1,1,4,0
28,3,0,7,2,2,4,3,1,1,1,0
28,3,1,7,3,5,3,1,2,1,2,0
28,1,1,8,1,2,1,2,1,2,2,0
28,1,0,8,2,8,2,4,1,4,1,0
28,1,0,8,3,1,1,3,1,2,3,0
28,1,1,9,1,2,3,1,1,3,2,0
28,1,0,9,2,6,4,1,2,1,2,0
28,1,0,9,3,1,2,4,1,1,4,0
28,2,0,10,1,4,4,3,2,2,4,0
28,2,1,10,2,6,1,2,2,3,2,0
28,2,0,10,3,2,2,5,2,3,4,0
28,1,1,11,1,4,3,3,1,1,3,0
28,1,0,11,2,8,3,2,2,1,4,0
28,1,0,11,3,1,4,4,1,2,3,0
28,1,1,12,1,3,1,1,2,2,2,0
28,1,0,12,2,1,1,4,1,1,2,0
28,1,0,12,3,3,3,4,2,2,4,0
28,2,0,13,1,6,3,3,2,3,2,0
28,2,1,13,2,7,1,1,1,3,2,0
28,2,0,13,3,7,1,2,1,4,4,0
28,3,0,14,1,6,1,2,2,3,2,0
28,3,0,14,2,4,2,1,2,4,3,0
28,3,1,14,3,1,1,3,1,1,1,0
28,3,0,15,1,3,2,5,1,4,3,0
28,3,0,15,2,1,4,3,1,2,2,0
28,3,1,15,3,2,3,1,2,1,1,0
29,2,0,1,1,3,5,4,1,2,1,0
29,2,1,1,2,1,4,4,2,1,3,0
29,2,0,1,3,1,4,4,1,3,2,0
29,2,0,2,1,8,5,1,1,4,4,0
29,2,1,2,2,5,3,1,2,4,2,0
29,2,0,2,3,8,3,1,2,4,1,0
29,2,0,3,1,1,4,4,2,3,1,0
29,2,1,3,2,6,1,1,1,2,3,0
29,2,0,3,3,3,4,1,1,2,3,0
29,2,0,4,1,1,2,2,1,3,4,0
29,2,1,4,2,1,2,3,2,2,3,0
29,2,0,4,3,7,2,1,2,3,4,0
29,3,0,5,1,6,3,5,1,3,3,0
29,3,0,5,2,3,5,5,1,2,4,0
29,3,1,5,3,5,1,3,1,3,3,0
29,3,0,6,1,1,3,4,1,3,2,0
29,3,0,6,2,7,1,4,1,4,4,0
29,3,1,6,3,5,3,4,2,2,1,0
29,2,0,7,1,6,3,5,2,2,4,0
29,2,1,7,2,4,1,5,1,3,1,0
29,2,0,7,3,1,5,3,1,2,1,0
29,3,0,8,1,4,4,5,2,3,3,0
29,3,0,8,2,1,4,3,1,1,2,0
29,3,1,8,3,5,3,2,2,1,2,0
29,1,1,9,1,1,2,4,1,3,3,0
29,1,0,9,2,8,3,4,2,2,3,0
29,1,0,9,3,8,5,1,1,3,2,0
29,2,0,10,1,3,2,3,1,4,2,0
29,2,1,10,2,5,2,3,1,4,2,0
29,2,0,10,3,2,2,5,2,2,2,0
29,1,1,11,1,3,2,5,2,1,4,0
29,1,0,11,2,7,4,4,1,1,3,0
29,1,0,11,3,6,5,3,2,1,1,0
29,1,1,12,1,6,3,2,2,1,2,0
29,1,0,12,2,4,4,2,1,2,4,0
29,1,0,12,3,2,1,4,1,4,3,0
29,1,1,13,1,6,1,5,1,3,1,0
29,1,0,13,2,4,4,3,2,4,4,0
29,1,0,13,3,6,5,4,1,4,3,0
29,1,1,14,1,4,4,3,2,1,4,0
29,1,0,14,2,2,4,5,1,4,4,0
29,1,0,14,3,1,5,2,2,2,1,0
29,2,0,15,1,4,5,1,2,1,4,0
29,2,1,15,2,6,2,2,2,1,4,0
29,2,0,15,3,8,3,3,1,1,1,0
30,3,0,1,1,6,3,4,2,4,3,0
30,3,0,1,2,7,1,4,2,3,3,0
30,3,1,1,3,5,1,3,1,3,4,0
30,3,0,2,1,2,2,5,2,3,1,0
30,3,0,2,2,8,5,2,2,3,4,0
30,3,1,2,3,5,1,3,1,3,4,0
30,1,1,3,1,2,4,3,1,2,4,0
30,1,0,3,2,3,5,5,1,2,4,0
30,1,0,3,3,5,2,2,1,2,4,0
30,2,0,4,1,6,3,4,2,4,4,0
30,2,1,4,2,5,3,1,2,2,3,0
30,2,0,4,3,5,2,2,2,3,1,0
30,1,1,5,1,4,5,3,1,1,3,0
30,1,0,5,2,7,3,4,1,2,4,0
30,1,0,5,3,7,4,5,2,4,4,0
30,2,0,6,1,6,1,4,1,1,4,0
30,2,1,6,2,2,1,5,1,4,3,0
30,2,0,6,3,4,2,5,1,4,2,0
30,2,0,7,1,2,2,1,1,4,4,0
30,2,1,7,2,5,1,1,2,3,3,0
30,2,0,7,3,5,5,5,1,3,4,0
30,2,0,8,1,5,1,3,1,3,3,0
30,2,1,8,2,4,4,3,1,2,1,0
30,2,0,8,3,3,4,2,2,3,1,0
30,2,0,9,1,6,5,1,2,3,4,0
30,2,1,9,2,4,3,5,2,3,2,0
30,2,0,9,3,6,2,4,1,3,2,0
30,1,1,10,1,8,4,2,2,2,1,0
30,1,0,10,2,7,2,3,1,4,1,0
30,1,0,10,3,4,3,1,2,3,1,0
30,2,0,11,1,2,3,1,1,2,1,0
30,2,1,11,2,4,5,3,2,1,4,0
30,2,0,11,3,8,4,4,2,3,3,0
30,2,0,12,1,1,5,4,2,3,2,0
30,2,1,12,2,8,1,1,1,3,1,0
30,2,0,12,3,2,3,4,1,2,2,0
30,1,1,13,1,1,3,1,1,3,3,0
30,1,0,13,2,6,1,1,1,1,4,0
30,1,0,13,3,4,1,1,1,1,4,0
30,3,0,14,1,4,1,4,1,2,2,0
30,3,0,14,2,3,3,4,1,4,1,0
30,3,1,14,3,7,2,5,1,4,2,0
30,2,0,15,1,5,1,5,1,4,2,0
30,2,1,15,2,5,2,1,2,4,2,0
30,2,0,15,3,8,1,5,1,4,3,0
31,3,0,1,1,7,2,5,2,3,4,0
31,3,0,1,2,2,1,4,1,2,3,0
31,3,1,1,3,1,2,1,2,1,2,0
31,1,1,2,1,2,3,1,2,2,3,0
31,1,0,2,2,6,3,3,1,3,2,0
31,1,0,2,3,5,2,1,2,4,1,0
31,3,0,3,1,8,1,4,2,1,2,0
31,3,0,3,2,7,4,2,1,1,1,0
31,3,1,3,3,2,1,2,2,2,2,0
31,2,0,4,1,2,5,5,2,4,3,0
31,2,1,4,2,2,3,3,2,2,1,0
31,2,0,4,3,5,4,1,2,3,4,0
31,1,1,5,1,2,3,1,2,3,3,0
31,1,0,5,2,2,3,5,2,3,4,0
31,1,0,5,3,2,4,2,1,1,4,0
31,2,0,6,1,8,1,5,1,4,4,0
31,2,1,6,2,2,3,5,2,2,2,0
31,2,0,6,3,4,5,1,1,2,2,0
31,1,1,7,1,2,2,3,1,2,1,0
31,1,0,7,2,6,2,5,2,1,1,0
31,1,0,7,3,2,4,4,1,2,3,0
31,3,0,8,1,8,5,4,2,3,2,0
31,3,0,8,2,7,5,1,1,3,2,0
31,3,1,8,3,4,1,5,1,3,1,0
31,2,0,9,1,4,2,5,1,1,2,0
31,2,1,9,2,3,1,3,2,2,4,0
31,2,0,9,3,8,5,4,2,4,3,0
31,3,0,10,1,4,2,2,2,1,1,0
31,3,0,10,2,5,3,2,1,4,2,0
31,3,1,10,3,5,1,2,1,2,4,0
31,3,0,11,1,3,1,4,1,2,2,0
31,3,0,11,2,1,2,4,2,1,4,0
31,3,1,11,3,6,1,1,1,1,1,0
31,3,0,12,1,5,2,4,2,2,4,0
31,3,0,12,2,4,4,4,2,1,4,0
31,3,1,12,3,3,1,3,1,1,3,0
31,1,1,13,1,4,4,5,1,1,2,0
31,1,0,13,2,6,2,4,1,2,3,0
31,1,0,13,3,7,4,5,1,1,4,0
31,2,0,14,1,2,3,1,2,2,3,0
31,2,1,14,2,1,2,3,2,4,3,0
31,2,0,14,3,3,1,2,1,2,4,0
31,2,0,15,1,6,2,3,1,1,1,0
31,2,1,15,2,5,4,2,2,2,4,0
31,2,0,15,3,6,1,5,2,3,1,0
32,2,0,1,1,6,3,3,1,2,3,0
32,2,1,1,2,1,3,5,1,3,2,0
32,2,0,1,3,6,1,5,2,3,2,0
32,3,0,2,1,2,4,3,2,1,1,0
32,3,0,2,2,6,2,3,2,3,3,0
32,3,1,2,3,4,2,2,2,2,1,0
32,2,0,3,1,4,3,3,1,4,3,0
32,2,1,3,2,5,1,5,1,1,3,0
32,2,0,3,3,2,4,2,2,3,3,0
32,1,1,4,1,2,2,1,1,2,2,0
32,1,0,4,2,3,2,3,2,4,4,0
32,1,0,4,3,4,1,1,1,2,3,0
32,1,1,5,1,2,2,2,2,4,1,0
32,1,0,5,2,2,1,5,1,3,3,0
32,1,0,5,3,7,4,4,1,1,3,0
32,2,0,6,1,6,3,2,2,3,1,0
32,2,1,6,2,2,1,1,1,3,3,0
32,2,0,6,3,5,4,4,1,2,2,0
32,2,0,7,1,7,3,2,1,2,3,0
32,2,1,7,2,4,3,1,1,4,4,0
32,2,0,7,3,5,3,4,2,2,1,0
32,2,0,8,1,7,1,4,2,3,1,0
32,2,1,8,2,4,2,5,1,4,3,0
32,2,0,8,3,1,1,1,1,1,4,0
32,1,1,9,1,1,2,2,2,3,2,0
32,1,0,9,2,4,5,4,1,3,2,0
32,1,0,9,3,2,3,5,1,1,2,0
32,1,1,10,1,1,1,5,2,4,2,0
32,1,0,10,2,6,3,4,2,1,2,0
32,1,0,10,3,6,2,4,2,2,2,0
32,2,0,11,1,8,4,5,1,2,1,0
32,2,1,11,2,4,2,3,2,3,1,0
32,2,0,11,3,7,1,2,1,3,3,0
32,1,1,12,1,8,3,1,2,3,1,0
32,1,0,12,2,6,3,2,1,2,2,0
32,1,0,12,3,6,1,4,2,4,1,0
32,3,0,13,1,6,4,1,1,2,4,0
32,3,0,13,2,7,5,2,2,3,2,0
32,3,1,13,3,4,2,5,2,1,1,0
32,2,0,14,1,7,1,4,1,4,3,0
32,2,1,14,2,8,3,1,1,2,3,0
32,2,0,14,3,6,1,1,1,1,3,0
32,1,1,15,1,7,2,5,1,3,2,0
32,1,0,15,2,1,3,4,2,1,2,0
32,1,0,15,3,1,5,5,1,2,3,0
33,1,1,1,1,4,4,5,1,2,3,0
33,1,0,1,2,7,4,3,1,1,1,0
33,1,0,1,3,7,4,4,2,2,3,0
33,3,0,2,1,4,3,5,1,4,1,0
33,3,0,2,2,4,2,2,2,1,3,0
33,3,1,2,3,5,5,2,2,2,2,0
33,1,1,3,1,5,3,1,2,2,4,0
33,1,0,3,2,4,3,5,2,1,2,0
33,1,0,3,3,2,3,2,2,2,4,0
33,1,1,4,1,4,3,1,2,4,3,0
33,1,0,4,2,1,3,5,1,4,2,0
33,1,0,4,3,8,2,4,2,4,3,0
33,1,1,5,1,7,2,5,2,2,3,0
33,1,0,5,2,4,5,3,2,4,1,0
33,1,0,5,3,3,2,4,2,1,4,0
33,3,0,6,1,5,1,3,1,2,4,0
33,3,0,6,2,8,3,4,2,2,3,0
33,3,1,6,3,2,5,1,1,2,3,0
33,1,1,7,1,4,3,1,2,1,3,0
33,1,0,7,2,2,4,1,1,4,3,0
33,1,0,7,3,1,3,4,2,1,1,0
33,1,1,8,1,5,5,1,1,1,4,0
33,1,0,8,2,3,2,1,2,4,3,0
33,1,0,8,3,3,5,3,1,2,2,0
33,3,0,9,1,1,2,2,2,1,1,0
33,3,0,9,2,5,5,4,2,3,3,0
33,3,1,9,3,2,1,2,2,2,3,0
33,1,1,10,1,3,1,2,1,2,2,0
33,1,0,10,2,3,5,5,1,4,4,0
33,1,0,10,3,1,5,3,1,3,3,0
33,1,1,11,1,4,2,2,1,3,3,0
33,1,0,11,2,7,3,2,1,1,1,0
33,1,0,11,3,8,3,3,1,1,4,0
33,3,0,12,1,2,5,4,1,3,4,0
33,3,0,12,2,3,4,4,2,4,1,0
33,3,1,12,3,5,3,3,1,1,1,0
33,1,1,13,1,6,2,2,1,1,4,0
33,1,0,13,2,6,2,4,1,3,2,0
33,1,0,13,3,7,2,3,1,1,3,0
33,1,1,14,1,3,2,1,2,1,3,0
33,1,0,14,2,5,2,4,2,3,3,0
33,1,0,14,3,6,2,2,2,3,1,0
33,1,1,15,1,6,2,1,1,2,1,0
33,1,0,15,2,8,1,4,2,3,4,0
33,1,0,15,3,4,4,4,1,4,3,0
34,1,1,1,1,1,4,1,2,3,4,0
34,1,0,1,2,8,4,5,1,3,4,0
34,1,0,1,3,3,2,2,1,1,1,0
34,2,0,2,1,5,2,5,1,4,3,0
34,2,1,2,2,6,4,2,1,2,3,0
34,2,0,2,3,3,4,4,1,4,1,0
34,1,1,3,1,4,2,2,2,4,4,0
34,1,0,3,2,1,4,1,1,1,4,0
34,1,0,3,3,1,4,5,2,2,2,0
34,1,1,4,1,2,4,2,1,4,3,0
34,1,0,4,2,6,2,1,2,3,3,0
34,1,0,4,3,7,3,1,2,4,4,0
34,3,0,5,1,5,3,5,1,4,1,0
34,3,0,5,2,6,5,1,1,3,3,0
34,3,1,5,3,2,4,5,2,3,1,0
34,1,1,6,1,6,2,5,1,3,3,0
34,1,0,6,2,6,1,2,2,1,3,0
34,1,0,6,3,1,5,2,2,1,4,0
34,2,0,7,1,8,3,5,2,2,4,0
34,2,1,7,2,4,1,1,1,3,1,0
34,2,0,7,3,6,2,3,2,2,3,0
34,2,0,8,1,5,3,4,2,2,4,0
34,2,1,8,2,6,5,2,1,3,3,0
34,2,0,8,3,2,4,2,1,3,4,0
34,3,0,9,1,3,2,4,1,4,1,0
34,3,0,9,2,6,5,1,1,3,4,0
34,3,1,9,3,2,5,2,1,2,2,0
34,3,0,10,1,8,1,5,2,4,2,0
34,3,0,10,2,2,4,3,1,4,3,0
34,3,1,10,3,6,5,2,1,2,1,0
34,3,0,11,1,7,3,5,1,4,3,0
34,3,0,11,2,6,2,3,1,2,1,0
34,3,1,11,3,3,2,2,1,2,2,0
34,1,1,12,1,6,1,1,1,1,3,0
34,1,0,12,2,7,1,3,2,1,4,0
34,1,0,12,3,8,2,1,2,4,4,0
34,1,1,13,1,5,4,2,2,2,3,0
34,1,0,13,2,7,1,1,1,2,4,0
34,1,0,13,3,4,2,2,2,2,2,0
34,3,0,14,1,7,3,4,1,1,1,0
34,3,0,14,2,2,4,3,1,3,1,0
34,3,1,14,3,1,5,2,2,2,2,0
34,3,0,15,1,7,4,5,1,2,3,0
34,3,0,15,2,2,5,4,2,4,2,0
34,3,1,15,3,2,5,3,1,2,1,0
35,1,1,1,1,1,4,1,1,4,4,0
35,1,0,1,2,7,3,5,1,4,4,0
35,1,0,1,3,7,5,1,2,1,1,0
35,1,1,2,1,5,2,5,2,1,2,0
35,1,0,2,2,5,4,5,2,4,2,0
35,1,0,2,3,2,1,3,1,4,4,0
35,1,1,3,1,4,1,2,2,2,3,0
35,1,0,3,2,2,3,4,2,1,1,0
35,1,0,3,3,8,3,5,1,4,3,0
35,1,1,4,1,8,4,2,2,1,4,0
35,1,0,4,2,3,2,1,1,1,2,0
35,1,0,4,3,8,4,3,2,4,2,0
35,1,1,5,1,4,1,3,2,3,1,0
35,1,0,5,2,3,2,2,2,4,1,0
35,1,0,5,3,4,4,1,1,4,1,0
35,1,1,6,1,4,2,3,2,2,3,0
35,1,0,6,2,6,4,2,1,1,3,0
35,1,0,6,3,3,5,4,2,4,4,0
35,2,0,7,1,5,1,3,1,4,1,0
35,2,1,7,2,5,3,5,1,1,3,0
35,2,0,7,3,3,3,3,1,4,4,0
35,2,0,8,1,2,4,2,1,2,4,0
35,2,1,8,2,8,1,5,2,1,1,0
35,2,0,8,3,7,2,5,1,3,1,0
35,1,1,9,1,2,2,2,2,1,4,0
35,1,0,9,2,1,5,3,2,4,2,0
35,1,0,9,3,2,5,5,1,4,2,0
35,3,0,10,1,5,3,5,2,2,4,0
35,3,0,10,2,8,2,1,2,3,4,0
35,3,1,10,3,1,2,5,1,1,3,0
35,3,0,11,1,7,5,5,1,3,2,0
35,3,0,11,2,7,5,1,1,1,3,0
35,3,1,11,3,4,3,5,1,4,4,0
35,1,1,12,1,2,4,3,2,1,4,0
35,1,0,12,2,5,1,4,2,4,3,0
35,1,0,12,3,8,4,1,2,2,4,0
35,3,0,13,1,2,5,2,2,3,2,0
35,3,0,13,2,4,1,2,1,2,3,0
35,3,1,13,3,4,1,2,2,1,2,0
35,2,0,14,1,1,4,2,1,2,1,0
35,2,1,14,2,2,1,1,2,3,2,0
35,2,0,14,3,1,4,3,1,4,1,0
35,3,0,15,1,8,5,4,1,2,1,0
35,3,0,15,2,2,4,2,1,2,4,0
35,3,1,15,3,5,4,1,2,1,1,0
36,2,0,1,1,1,1,4,1,4,3,0
36,2,1,1,2,1,2,4,2,1,1,0
36,2,0,1,3,6,4,4,2,1,1,0
36,2,0,2,1,6,5,1,2,2,1,0
36,2,1,2,2,4,1,4,2,3,1,0
36,2,0,2,3,8,2,5,2,2,1,0
36,3,0,3,1,8,2,1,2,4,4,0
36,3,0,3,2,6,1,2,2,4,2,0
36,3,1,3,3,2,1,5,2,4,3,0
36,2,0,4,1,2,5,2,1,1,3,0
36,2,1,4,2,5,3,1,2,1,1,0
36,2,0,4,3,4,2,2,2,2,1,0
36,3,0,5,1,1,2,1,2,3,3,0
36,3,0,5,2,7,3,4,2,4,2,0
36,3,1,5,3,5,3,3,2,2,4,0
36,3,0,6,1,3,3,3,1,4,2,0
36,3,0,6,2,1,2,5,2,3,3,0
36,3,1,6,3,5,3,4,1,4,3,0
36,3,0,7,1,4,5,5,2,1,3,0
36,3,0,7,2,7,3,1,1,1,3,0
36,3,1,7,3,1,4,5,2,1,3,0
36,2,0,8,1,4,1,4,1,3,4,0
36,2,1,8,2,2,4,2,2,1,4,0
36,2,0,8,3,3,5,4,1,2,3,0
36,1,1,9,1,8,1,4,1,3,1,0
36,1,0,9,2,8,4,4,1,4,4,0
36,1,0,9,3,8,4,1,1,4,1,0
36,1,1,10,1,6,1,1,1,1,2,0
36,1,0,10,2,5,4,2,2,4,1,0
36,1,0,10,3,5,1,5,1,2,1,0
36,3,0,11,1,6,1,4,2,4,2,0
36,3,0,11,2,7,4,3,1,3,3,0
36,3,1,11,3,7,5,2,2,1,1,0
36,3,0,12,1,6,4,3,1,2,3,0
36,3,0,12,2,6,3,5,2,3,2,0
36,3,1,12,3,8,5,1,2,1,2,0
36,2,0,13,1,6,3,2,2,4,4,0
36,2,1,13,2,3,3,1,2,3,2,0
36,2,0,13,3,2,1,5,1,4,3,0
36,1,1,14,1,3,5,1,2,2,2,0
36,1,0,14,2,6,1,4,1,4,2,0
36,1,0,14,3,1,5,3,1,3,1,0
36,2,0,15,1,2,3,5,1,1,2,0
36,2,1,15,2,1,1,3,1,1,1,0
36,2,0,15,3,5,3,3,2,4,2,0
37,2,0,1,1,6,1,1,1,1,2,0
37,2,1,1,2,4,5,2,1,3,1,0
37,2,0,1,3,5,3,3,1,4,2,0
37,3,0,2,1,2,2,4,1,4,1,0
37,3,0,2,2,8,1,1,1,2,3,0
37,3,1,2,3,1,4,1,2,4,2,0
37,3,0,3,1,3,5,4,1,4,3,0
37,3,0,3,2,5,2,5,1,1,1,0
37,3,1,3,3,1,1,1,2,3,1,0
37,3,0,4,1,3,2,1,2,2,1,0
37,3,0,4,2,2,5,3,2,1,4,0
37,3,1,4,3,5,4,2,2,3,4,0
37,3,0,5,1,2,5,4,1,1,4,0
37,3,0,5,2,1,4,4,1,4,1,0
37,3,1,5,3,4,3,2,1,1,4,0
37,3,0,6,1,1,5,5,2,2,1,0
37,3,0,6,2,5,1,3,1,1,1,0
37,3,1,6,3,3,4,1,1,1,3,0
37,2,0,7,1,3,1,4,1,1,3,0
37,2,1,7,2,5,3,1,1,1,4,0
37,2,0,7,3,6,3,1,2,4,2,0
37,3,0,8,1,7,4,1,2,4,2,0
37,3,0,8,2,6,1,4,2,2,3,0
37,3,1,8,3,5,5,2,2,3,4,0
37,2,0,9,1,3,1,5,2,1,1,0
37,2,1,9,2,3,2,3,2,3,1,0
37,2,0,9,3,5,2,5,1,4,1,0
37,2,0,10,1,5,2,4,1,2,1,0
37,2,1,10,2,3,3,2,2,3,3,0
37,2,0,10,3,8,3,4,2,3,1,0
37,3,0,11,1,8,4,3,1,1,3,0
37,3,0,11,2,5,2,1,2,1,4,0
37,3,1,11,3,1,1,3,2,2,1,0
37,1,1,12,1,6,2,1,1,1,1,0
37,1,0,12,2,4,1,5,1,2,3,0
37,1,0,12,3,6,3,5,1,4,1,0
37,3,0,13,1,6,1,1,2,2,4,0
37,3,0,13,2,7,3,2,1,2,2,0
37,3,1,13,3,4,1,2,2,1,4,0
37,2,0,14,1,8,3,3,1,2,3,0
37,2,1,14,2,4,5,3,2,4,2,0
37,2,0,14,3,8,3,5,2,1,1,0
37,1,1,15,1,3,2,3,1,1,2,0
37,1,0,15,2,8,4,1,1,1,1,0
37,1,0,15,3,3,3,5,1,3,3,0
38,2,0,1,1,5,5,4,2,3,2,0
38,2,1,1,2,3,4,3,1,2,4,0
38,2,0,1,3,6,3,4,2,2,2,0
38,2,0,2,1,4,3,1,1,4,2,0
38,2,1,2,2,5,5,1,2,1,2,0
38,2,0,2,3,8,4,1,1,4,4,0
38,1,1,3,1,5,3,1,2,4,3,0
38,1,0,3,2,1,5,1,1,2,3,0
38,1,0,3,3,3,5,3,2,2,4,0
38,1,1,4,1,5,1,4,2,1,4,0
38,1,0,4,2,6,2,4,2,4,1,0
38,1,0,4,3,7,5,5,2,4,1,0
38,3,0,5,1,7,5,2,1,1,1,0
38,3,0,5,2,2,4,1,2,1,3,0
38,3,1,5,3,4,3,1,1,1,1,0
38,1,1,6,1,4,1,1,2,1,1,0
38,1,0,6,2,6,3,4,2,3,2,0
38,1,0,6,3,7,4,4,2,2,4,0
38,1,1,7,1,7,5,1,2,3,3,0
38,1,0,7,2,2,2,4,2,4,1,0
38,1,0,7,3,8,5,5,2,4,4,0
38,1,1,8,1,2,5,2,2,3,4,0
38,1,0,8,2,8,4,1,1,3,1,0
38,1,0,8,3,2,3,1,2,2,1,0
38,2,0,9,1,1,3,3,2,3,3,0
38,2,1,9,2,2,2,2,1,3,2,0
38,2,0,9,3,6,5,3,2,3,3,0
38,3,0,10,1,4,3,5,2,3,2,0
38,3,0,10,2,4,1,1,1,2,1,0
38,3,1,10,3,3,1,2,2,2,2,0
38,2,0,11,1,1,1,1,1,2,4,0
38,2,1,11,2,4,5,5,1,3,4,0
38,2,0,11,3,2,2,4,1,3,2,0
38,1,1,12,1,2,3,1,2,3,4,0
38,1,0,12,2,7,4,4,2,2,1,0
38,1,0,12,3,7,4,3,1,4,3,0
38,2,0,13,1,2,1,2,2,3,2,0
38,2,1,13,2,4,3,2,1,4,3,0
38,2,0,13,3,7,1,1,1,4,4,0
38,1,1,14,1,5,5,5,2,2,3,0
38,1,0,14,2,1,4,1,1,3,3,0
38,1,0,14,3,7,4,5,2,4,1,0
38,1,1,15,1,2,2,2,2,1,2,0
38,1,0,15,2,6,4,5,2,3,4,0
38,1,0,15,3,1,1,3,1,3,3,0
39,1,1,1,1,1,4,2,1,4,4,0
39,1,0,1,2,4,3,2,2,1,1,0
39,1,0,1,3,6,3,5,1,3,3,0
39,3,0,2,1,7,1,3,2,2,4,0
39,3,0,2,2,4,2,3,2,2,3,0
39,3,1,2,3,1,1,1,2,2,1,0
39,1,1,3,1,5,2,1,1,1,1,0
39,1,0,3,2,8,5,5,2,3,1,0
39,1,0,3,3,5,3,5,1,3,1,0
39,3,0,4,1,5,4,3,1,3,2,0
39,3,0,4,2,6,1,2,2,3,1,0
39,3,1,4,3,8,5,2,1,2,3,0
39,2,0,5,1,4,2,5,1,2,4,0
39,2,1,5,2,5,2,3,2,4,1,0
39,2,0,5,3,5,3,4,1,4,4,0
39,2,0,6,1,4,2,3,1,1,2,0
39,2,1,6,2,2,4,1,1,3,3,0
39,2,0,6,3,8,1,3,1,1,1,0
39,1,1,7,1,1,2,1,1,3,3,0
39,1,0,7,2,2,4,4,1,4,1,0
39,1,0,7,3,7,2,1,2,4,1,0
39,2,0,8,1,2,1,5,1,4,2,0
39,2,1,8,2,1,1,2,1,2,2,0
39,2,0,8,3,7,1,5,1,1,4,0
39,2,0,9,1,4,1,1,2,2,4,0
39,2,1,9,2,1,1,2,1,3,4,0
39,2,0,9,3,3,3,3,1,1,4,0
39,1,1,10,1,5,2,1,2,2,4,0
